FIPS,GeoLevel,NAME,Qualified Area Name,"SE Murder Index (100=Median, 0-200)",Total Population,"SE Robbery Index (100=Median, 0-200)",Total Population,"SE Burglary Index (100=Median, 0-200)",Total Population,"SE Violent Crime Index (100=Median, 0-200)",Total Population,"SE Property Crime Index (100=Median, 0-200)",Total Population,"SE Total Crime Index (100=Median, 0-200)",Total Population,"SE Felonious Assault Index (100=Median, 0-200)",SE Felonious Assault Index: Total Population,"SE Rape and Sexual Assault Index (100=Median, 0-200)",Total Population
Geo_FIPS,_geo_level_,Geo_NAME,Geo_qname,ORG_se_MURD_index,ORG_total_population_murd,ORG_se_ROB_index,ORG_total_population_rob,ORG_se_BURG_index,ORG_total_population_burg,ORG_se_vc_index,ORG_total_population_vc,ORG_se_pc_index,ORG_total_population_pc,ORG_se_tc_index,ORG_total_population_tc,ORG_se_FA_index,ORG_total_population_fa,ORG_se_RSA_index,ORG_total_population_rsa
6077,SL050,San Joaquin County,"San Joaquin County, California",166.486018,787416,179.4742113,787416,153.9867543,787416,170.7761947,787416,138.508243,787416,143.0114082,787416,157.5026719,787416,127.9716572,787416
6079,SL050,San Luis Obispo County,"San Luis Obispo County, California",116.2937281,281486,120.4046082,281486,118.4505727,281486,131.8286592,281486,105.1671149,281486,106.7772971,281486,148.4587355,281486,142.18512,281486
6081,SL050,San Mateo County,"San Mateo County, California",105.7779536,745100,149.1176545,745100,91.39029378,745100,129.1862233,745100,126.5112162,745100,125.4004577,745100,112.3099191,745100,113.5839974,745100
6083,SL050,Santa Barbara County,"Santa Barbara County, California",99.56072069,443975,154.3082192,443975,124.7612155,443975,147.9663933,443975,115.4044664,443975,118.4427667,443975,147.3235099,443975,147.4253351,443975
6085,SL050,Santa Clara County,"Santa Clara County, California",114.5854196,1903297,163.3479479,1903297,153.6905353,1903297,152.4536906,1903297,150.2856236,1903297,149.7419366,1903297,140.930397,1903297,149.6604421,1903297
6087,SL050,Santa Cruz County,"Santa Cruz County, California",118.0356978,266021,138.2921965,266021,104.2884433,266021,130.4965842,266021,114.261972,266021,114.6169136,266021,135.5201925,266021,118.4951738,266021
6089,SL050,Shasta County,"Shasta County, California",137.5760534,181554,150.6441922,181554,100.6757496,181554,152.5054703,181554,106.6520236,181554,112.0663449,181554,155.1985593,181554,167.2736912,181554
6091,SL050,Sierra County,"Sierra County, California",44.48165883,2731,127.9085424,2731,130.0637039,2731,144.0152667,2731,69.34807663,2731,79.18705841,2731,171.281063,2731,16.70018766,2731
6093,SL050,Siskiyou County,"Siskiyou County, California",149.3810538,43834,125.3351398,43834,81.43750368,43834,140.6053216,43834,67.5524896,43834,76.69996158,43834,157.0474035,43834,146.7571593,43834
6095,SL050,Solano County,"Solano County, California",151.8139206,450824,169.6156727,450824,144.5742273,450824,159.2510314,450824,147.1295662,450824,147.8269221,450824,148.418342,450824,136.6688827,450824
6097,SL050,Sonoma County,"Sonoma County, California",106.3459872,485642,135.0733394,485642,109.0700238,485642,126.2381199,485642,94.77776479,485642,96.79800899,485642,115.7105469,485642,154.2922301,485642
6099,SL050,Stanislaus County,"Stanislaus County, California",130.4508083,552250,161.8862081,552250,130.980973,552250,154.1256744,552250,131.4895856,552250,133.447193,552250,152.6116922,552250,133.4197305,552250
6101,SL050,Sutter County,"Sutter County, California",144.9529163,98971,148.0909864,98971,118.8965842,98971,143.9334213,98971,122.8490538,98971,124.2128648,98971,136.2784122,98971,165.9280827,98971
6103,SL050,Tehama County,"Tehama County, California",159.7251559,65520,159.0712861,65520,138.9889844,65520,160.1095726,65520,125.509028,65520,129.643054,65520,157.1088352,65520,178.174887,65520
6105,SL050,Trinity County,"Trinity County, California",44.48165883,15886,114.2412333,15886,160.7080644,15886,133.7520253,15886,90.83916551,15886,94.67671082,15886,163.3134451,15886,62.56700693,15886
6107,SL050,Tulare County,"Tulare County, California",153.0248841,475774,154.502613,475774,139.5284059,475774,150.47938,475774,131.6766607,475774,132.9544506,475774,151.3359309,475774,146.8177496,475774
6109,SL050,Tuolumne County,"Tuolumne County, California",117.0898166,54873,109.2661006,54873,122.6195185,54873,144.6558319,54873,83.24926089,54873,90.79239673,54873,159.2623137,54873,179.3892166,54873
6111,SL050,Ventura County,"Ventura County, California",130.8034099,838259,141.8501906,838259,109.3729751,838259,128.1631562,838259,112.4847584,838259,112.6968882,838259,129.0934184,838259,95.14099856,838259
6113,SL050,Yolo County,"Yolo County, California",141.4664524,217782,139.1505584,217782,111.2285515,217782,120.2784413,217782,123.0687,217782,121.4175951,217782,111.3219614,217782,98.92704766,217782
6115,SL050,Yuba County,"Yuba County, California",151.324991,83079,130.9027106,83079,107.9642518,83079,145.1510799,83079,83.25176636,83079,90.91432962,83079,160.7030152,83079,148.7928234,83079
